daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
348.8,66,5.9,53,123.9,6.9,7.4,5.0,61.5
269.9,75,6.7,65,213.5,6.0,6.5,5.7,51.3
430.8,46,6.2,94,104.9,6.3,6.7,4.5,57.5
362.2,31,8.7,89,133.0,7.4,7.6,3.2,75.6
262.3,47,6.8,98,88.0,8.2,7.4,3.4,71.4
298.8,47,8.5,123,105.9,8.4,7.5,2.0,83.2
405.1,48,7.1,37,130.0,6.8,8.2,3.6,71.7
447.1,39,7.0,119,153.9,5.9,7.4,6.2,53.6
539.7,56,6.9,90,132.8,6.6,7.0,5.2,54.9
613.1,55,7.0,84,170.4,5.1,7.5,4.6,54.8
413.2,35,9.1,46,116.2,8.2,8.4,1.3,88.4
300.8,57,4.2,105,106.7,6.0,8.1,6.8,54.1
209.4,71,4.6,18,228.2,5.8,6.1,5.3,47.8
401.4,52,6.3,109,135.8,5.5,6.6,4.9,51.7
315.0,47,7.0,45,91.2,8.7,7.7,2.8,82.2
346.8,49,7.8,92,92.2,7.2,8.1,2.3,73.6
331.0,56,7.6,86,82.3,8.7,8.7,4.0,78.8
368.7,33,6.5,125,157.5,5.7,6.5,5.0,57.7
465.3,52,8.2,85,105.4,7.2,8.9,4.6,71.4
392.6,46,8.2,69,125.1,9.2,8.4,2.8,81.4
367.3,68,7.2,75,117.5,6.2,7.5,5.3,58.3
297.1,48,8.2,128,149.3,5.5,6.8,4.6,63.5
246.0,67,7.3,106,86.1,8.5,8.3,3.7,78.9
341.1,39,6.3,78,77.0,6.4,7.0,4.9,56.2
375.7,56,7.8,83,129.0,7.1,7.2,4.3,65.6
521.4,53,7.1,43,144.0,6.0,6.3,5.1,53.2
390.4,41,7.0,102,133.3,6.8,8.9,4.0,69.5
458.6,52,8.8,37,87.6,6.9,7.9,4.6,73.0
340.1,62,4.1,113,147.1,5.4,4.5,6.0,39.1
285.2,47,5.3,94,90.2,7.1,6.3,4.8,57.9
302.8,33,5.6,162,99.1,5.3,6.2,5.7,43.7
322.0,50,6.6,57,82.2,6.8,7.8,4.1,62.3
550.3,41,6.7,87,172.0,5.4,6.6,5.4,51.1
314.3,47,5.2,144,145.3,4.7,6.3,6.4,37.2
447.1,49,5.8,126,144.2,5.3,5.5,6.0,42.5
307.8,33,6.0,69,169.9,6.7,7.0,3.5,63.6
454.5,34,9.9,97,232.5,6.5,7.3,3.9,68.5
410.8,55,9.2,90,51.6,7.6,8.0,1.8,82.0
367.5,45,6.5,98,90.5,6.8,6.4,3.2,64.0
376.7,24,6.6,69,95.4,6.4,6.2,4.6,58.8
327.6,58,5.6,87,86.0,7.3,7.7,4.8,64.1
415.7,53,4.7,42,76.9,7.6,7.0,5.1,58.3
343.6,43,6.9,94,108.0,6.5,7.9,4.6,63.3
282.0,37,5.8,104,71.3,7.3,7.1,2.7,67.0
277.8,58,6.9,83,133.4,6.9,8.0,2.8,69.6
393.8,53,5.1,42,122.1,6.7,5.2,6.9,42.6
506.3,74,6.1,120,139.2,6.9,6.9,4.6,58.6
392.8,54,7.2,101,140.3,7.0,7.3,4.9,63.6
370.5,54,7.4,68,144.1,5.6,7.6,3.8,58.4
402.9,48,7.5,82,105.1,7.4,7.8,3.8,68.9
484.5,58,5.4,45,204.8,6.6,5.4,5.3,51.4
397.6,56,8.0,59,129.4,7.1,6.7,4.2,67.0
347.1,63,6.0,74,45.5,7.9,6.9,4.0,63.3
468.5,45,7.8,127,79.9,6.1,7.5,4.1,69.1
414.3,46,7.0,71,50.4,6.0,7.7,3.2,65.7
502.9,45,5.3,109,120.7,5.7,4.9,6.5,40.1
394.7,58,6.6,74,115.1,5.3,6.1,4.0,55.6
282.0,65,7.4,97,101.3,7.2,7.2,4.0,67.9
270.5,45,7.7,86,200.4,8.1,7.6,5.7,65.7
512.1,46,6.8,116,142.0,4.3,5.2,7.2,41.0
517.9,53,8.8,74,149.0,5.8,6.4,4.9,61.8
365.6,48,8.2,43,82.8,7.0,7.5,3.0,76.0
349.3,60,6.7,49,80.0,7.3,7.6,2.1,75.4
496.9,27,7.9,74,121.5,6.5,6.5,3.3,63.2
291.4,42,9.3,53,126.9,9.3,9.0,2.8,94.3
308.4,42,9.4,102,45.7,9.0,9.8,1.0,96.8
431.5,27,5.5,76,112.8,6.6,5.5,4.8,52.7
348.4,40,5.9,161,120.6,6.1,6.2,5.5,47.1
379.6,41,8.8,38,111.4,8.2,9.2,1.5,85.1
366.9,48,5.7,96,87.5,5.8,6.2,4.2,55.1
407.0,61,5.4,56,98.4,7.2,6.3,4.8,54.8
492.6,48,6.4,75,112.9,5.4,7.3,4.4,50.5
387.2,40,7.5,94,123.6,7.5,7.3,3.3,72.8
431.5,49,6.9,20,144.2,7.9,8.2,3.0,78.8
216.0,60,6.2,97,163.2,7.0,7.4,4.8,65.5
376.1,40,6.2,147,108.2,6.0,6.2,5.2,51.6
312.5,41,6.1,76,101.8,7.3,7.5,4.0,65.9
282.5,56,5.9,98,137.5,4.3,6.6,5.9,46.2
309.7,48,9.7,121,144.4,7.9,9.3,2.4,90.9
353.3,56,7.4,85,102.6,7.1,7.2,3.7,67.5
453.3,50,8.1,73,151.6,6.8,7.5,4.4,66.1
273.9,57,6.4,22,159.2,7.9,7.5,4.2,69.1
382.5,40,6.8,109,171.7,6.2,7.2,4.9,59.2
341.3,50,6.1,87,191.1,5.3,5.7,5.7,46.1
353.8,48,3.8,60,85.3,6.1,6.6,5.0,47.9
460.2,38,5.3,94,120.6,5.9,6.4,5.0,52.6
423.0,34,4.8,72,120.5,6.1,5.1,6.5,43.6
487.0,57,4.3,74,116.1,5.7,6.4,6.5,41.4
367.6,46,5.6,108,94.0,7.2,8.2,5.0,64.9
324.3,40,8.6,50,60.6,7.4,9.2,2.6,82.1
362.1,49,6.9,121,123.7,6.7,8.1,4.4,68.3
399.4,61,8.5,48,89.3,8.8,8.6,3.0,85.7
394.1,27,7.5,70,123.4,5.6,6.0,5.3,61.3
293.2,35,7.9,148,88.2,7.3,6.5,4.6,64.1
387.2,41,5.9,124,76.0,5.9,6.7,5.1,51.3
398.3,65,7.6,93,129.4,6.6,6.9,5.4,60.7
581.4,53,7.9,62,126.0,5.7,6.3,5.0,56.3
530.1,58,6.3,74,143.2,5.8,6.2,6.0,51.7
311.7,39,7.7,92,207.4,8.2,8.1,3.9,73.4
357.0,39,7.7,91,131.1,6.0,6.3,4.6,61.6
262.9,54,6.3,87,139.4,6.0,6.7,4.1,61.4
332.7,51,5.7,89,76.9,5.7,7.7,5.3,55.2
405.2,55,5.6,84,68.5,7.9,6.1,6.9,50.2
476.5,48,7.1,47,183.3,6.0,7.4,4.5,62.7
321.7,53,7.4,75,83.1,7.5,7.5,3.5,74.6
327.7,52,6.0,117,78.2,6.4,7.2,4.3,61.0
208.2,58,7.0,49,118.4,7.1,8.6,2.8,76.0
367.0,58,7.7,84,116.4,7.0,8.1,4.9,67.0
295.0,34,7.7,65,83.9,9.8,9.2,1.7,93.0
337.6,28,8.9,93,107.8,8.8,7.7,2.3,87.4
309.9,60,8.5,78,169.2,6.7,8.7,2.1,79.9
372.5,62,5.8,134,87.8,6.7,6.0,4.6,54.0
239.4,40,9.0,105,64.3,7.6,8.9,1.0,88.2
262.6,31,6.4,51,157.7,5.7,7.2,5.0,54.3
550.3,51,8.3,110,139.7,7.1,7.6,6.6,60.0
277.0,59,7.1,67,95.2,8.5,8.2,2.7,79.9
292.3,68,6.5,73,56.7,8.3,7.2,2.1,77.7
527.0,55,4.8,99,90.2,5.2,4.6,7.3,33.5
612.4,46,6.8,75,117.8,5.8,7.0,4.7,53.2
286.3,41,5.1,117,166.6,6.6,6.4,6.5,51.2
350.5,50,8.2,67,78.5,8.1,9.1,2.4,83.4
407.3,47,8.8,71,116.6,7.2,8.1,2.7,77.3
518.3,40,6.0,70,147.0,4.6,5.0,6.0,39.9
301.1,70,7.4,73,24.7,8.0,8.8,3.3,74.8
360.4,68,6.1,123,161.4,6.9,6.3,5.0,54.8
442.2,61,6.2,109,72.7,5.4,6.7,4.8,54.8
414.8,41,7.9,141,133.3,7.0,6.9,4.3,61.9
349.9,59,7.0,158,129.9,6.5,8.0,3.7,69.2
369.3,56,9.1,59,163.4,8.1,7.8,3.2,83.9
270.0,54,6.4,92,142.0,7.6,7.0,2.8,70.1
360.9,62,8.2,55,24.9,7.6,8.4,2.2,82.4
358.7,56,7.1,67,88.6,6.0,6.5,4.8,60.2
398.6,57,8.0,71,125.5,6.7,7.8,4.0,67.8
335.6,56,6.5,58,112.2,7.8,8.5,4.1,72.5
417.7,53,6.9,58,139.1,6.3,6.7,4.5,57.7
461.0,32,6.9,86,151.6,5.7,6.9,6.1,49.8
392.4,51,6.0,53,144.3,5.1,4.5,6.4,37.8
408.1,44,7.8,115,111.4,8.2,7.7,4.1,74.0
384.3,37,7.8,62,46.1,8.4,8.0,3.6,79.8
380.0,67,7.7,174,101.8,7.1,6.7,5.1,62.3
322.3,67,8.8,76,136.7,8.4,9.3,2.1,86.2
405.3,64,8.7,92,76.4,8.0,8.0,1.8,82.0
372.2,53,6.6,51,145.3,6.6,6.9,4.8,60.1
547.5,64,7.4,141,156.3,5.5,6.1,6.1,52.6
505.9,50,6.3,124,125.1,5.4,4.8,7.0,39.5
410.9,52,7.0,99,20.0,9.3,7.1,2.5,79.3
319.0,39,6.3,50,68.9,7.8,8.2,2.7,76.6
291.0,54,8.9,96,195.4,6.9,6.6,4.0,69.2
475.3,51,7.4,56,98.1,7.3,6.9,3.9,66.2
401.0,37,6.7,134,40.6,5.9,6.6,3.3,59.7
418.4,49,8.4,114,169.4,7.8,8.9,3.9,80.0
240.4,49,4.4,93,120.5,5.9,6.7,4.0,47.8
454.2,68,4.6,17,164.2,6.4,5.6,5.0,49.1
416.4,59,8.0,60,131.1,8.0,8.8,4.3,73.8
291.2,50,7.1,111,138.3,7.2,6.9,5.7,59.5
342.3,52,7.3,126,134.5,6.7,7.9,3.3,73.4
401.1,50,5.4,123,147.9,5.7,5.0,5.9,41.4
384.2,48,7.0,42,211.1,6.5,7.8,4.5,61.3
356.6,39,9.4,99,158.8,6.9,7.9,4.7,71.5
371.7,48,8.0,120,56.8,6.9,7.0,3.3,71.5
359.8,43,7.2,40,137.9,8.4,7.6,3.0,75.7
392.2,37,6.5,90,165.7,6.2,6.9,6.3,47.8
497.7,55,6.5,98,168.1,5.2,5.8,5.6,44.2
180.0,54,4.4,81,102.9,6.4,6.9,5.4,54.9
361.1,32,7.3,34,166.6,8.0,7.3,2.4,76.4
394.1,49,8.0,80,157.1,7.5,8.1,3.5,74.9
403.7,60,5.1,80,222.9,5.9,6.1,4.8,48.6
350.2,61,6.2,86,90.0,6.6,6.9,3.7,61.2
239.5,60,5.6,73,99.7,7.6,6.9,4.8,65.3
406.2,50,5.8,77,107.8,5.9,6.6,5.1,52.0
518.2,42,7.1,89,100.4,6.2,7.2,4.5,58.3
257.3,39,4.5,103,84.4,7.3,8.0,4.1,64.5
449.1,53,7.7,81,20.0,8.1,8.6,2.8,78.4
353.7,54,7.9,78,102.6,6.6,8.4,3.7,69.7
375.1,63,6.7,93,134.8,5.9,9.0,5.3,60.2
295.8,61,4.0,32,100.3,6.7,6.7,2.9,59.3
353.2,49,5.8,104,197.4,7.3,6.9,4.5,60.5
484.0,38,8.5,90,120.5,5.3,7.8,4.4,67.0
426.6,47,3.7,91,171.6,5.3,4.4,7.1,31.0
518.6,52,6.6,119,130.5,4.7,5.8,6.4,36.4
474.2,48,5.6,31,153.1,5.7,5.9,5.8,46.2
415.1,44,8.0,31,131.2,7.1,8.2,3.1,74.3
519.5,53,6.2,98,174.8,5.2,5.8,5.7,44.8
415.1,45,7.5,90,122.2,6.4,7.3,4.1,64.5
446.2,44,7.7,95,139.8,6.6,8.0,5.2,62.8
356.3,53,9.2,76,134.7,7.2,8.9,2.2,83.8
385.3,46,6.8,110,108.5,5.4,6.6,5.0,54.9
324.2,52,7.5,118,136.2,7.5,7.0,4.2,66.6
459.2,53,5.2,105,209.4,5.8,6.4,7.6,37.2
285.7,39,8.4,82,109.2,8.5,9.0,2.3,94.0
442.6,45,6.1,27,136.8,5.4,5.4,6.0,42.6
364.7,64,6.3,113,170.3,6.4,6.4,6.2,50.9
473.7,38,7.0,127,165.6,6.4,6.7,5.3,52.4
440.1,29,5.1,109,120.5,4.9,6.3,6.0,41.7
525.7,31,7.3,64,24.7,7.1,8.0,3.5,67.9
438.5,50,8.2,110,140.7,6.6,7.6,4.0,66.4
254.2,50,7.4,116,31.2,9.2,8.7,3.3,85.9
374.6,49,5.1,137,178.8,6.9,6.0,6.1,49.6
286.2,62,6.9,64,126.8,5.9,6.8,4.5,60.4
338.5,23,7.9,83,160.0,9.1,7.9,2.3,80.3
500.9,54,4.7,112,83.9,4.8,5.5,5.8,42.7
431.0,66,5.7,92,57.9,7.3,6.7,6.4,50.4
324.1,39,8.1,56,130.4,8.4,6.9,3.0,80.9
298.9,46,7.3,102,118.7,6.3,7.1,3.5,68.3
382.6,42,7.5,107,100.3,7.3,7.5,5.1,66.7
282.7,41,9.2,93,123.4,7.8,8.4,2.8,81.8
326.3,47,7.6,97,230.7,6.9,7.1,5.0,63.1
405.0,64,7.8,82,153.4,7.0,7.8,3.9,68.3
472.4,68,10.0,134,162.0,7.8,7.4,3.2,79.9
428.7,47,6.7,63,153.8,6.6,5.8,4.7,55.6
196.7,69,6.0,72,179.2,6.8,6.9,3.3,60.5
404.3,50,7.5,90,112.4,7.8,8.1,3.6,76.1
385.8,68,7.5,116,37.8,7.7,8.9,3.6,76.0
413.1,49,6.4,45,112.5,7.4,7.7,5.6,59.8
509.3,51,5.8,51,152.5,5.4,5.1,6.0,40.5
214.9,54,9.8,29,81.2,8.3,9.3,1.0,97.8
332.7,82,7.4,91,112.9,6.7,7.7,3.8,65.6
427.3,59,6.1,56,92.3,6.2,6.9,6.9,43.8
253.5,43,8.1,78,180.1,8.0,8.5,3.8,78.7
498.1,60,6.9,110,150.0,6.7,6.0,4.6,58.4
409.5,46,6.7,71,146.1,6.4,6.9,5.2,56.7
447.7,45,7.7,97,144.9,7.7,7.7,3.5,69.9
334.3,59,5.4,81,118.5,7.6,7.4,3.5,66.2
445.1,50,7.4,110,127.9,6.7,6.5,4.4,58.3
465.5,53,9.3,104,72.6,6.8,7.8,3.4,72.4
398.6,50,7.6,69,32.5,8.9,6.3,1.6,79.4
398.8,53,6.5,85,126.0,6.5,6.4,3.9,62.3
401.6,54,6.4,121,133.0,6.3,6.2,5.3,52.5
310.9,31,6.5,102,168.4,6.2,6.1,4.7,55.1
368.2,57,6.7,48,182.9,6.0,7.0,5.0,60.5
367.8,40,6.5,110,182.8,5.0,6.3,4.6,51.9
410.7,36,8.1,57,80.1,8.1,6.5,3.8,72.8
460.0,49,4.9,132,105.9,4.9,5.7,5.6,39.7
295.3,51,8.0,121,139.2,9.6,7.6,4.4,77.7
370.0,43,6.5,99,221.3,5.1,6.7,4.3,48.8
498.5,58,7.5,95,179.2,5.1,5.6,4.7,53.3
320.5,37,5.6,84,164.8,6.7,6.6,5.4,55.3
314.2,46,8.6,110,104.5,8.8,8.2,4.1,80.0
396.2,44,8.5,79,84.7,7.6,8.3,3.3,77.6
447.6,50,8.2,97,151.6,7.1,7.6,4.5,69.3
380.9,53,5.2,116,76.0,4.7,5.8,6.0,37.4
486.3,40,8.0,73,110.5,6.4,6.3,3.5,63.2
448.5,57,7.5,72,115.4,6.0,6.1,4.2,56.5
447.3,51,5.1,54,183.7,4.2,5.2,5.6,40.9
424.3,31,7.0,58,105.8,7.0,7.3,3.1,70.7
566.2,30,7.4,35,22.4,5.4,6.7,4.6,51.5
363.6,50,7.7,112,140.2,5.7,7.6,3.6,61.5
219.7,48,7.2,144,92.0,6.8,7.4,4.2,66.3
508.3,49,7.3,133,121.7,5.4,5.9,4.5,52.6
343.4,50,8.8,41,116.5,8.3,8.4,2.7,81.2
388.6,52,8.5,112,109.1,7.4,8.0,3.1,81.0
484.8,59,3.6,133,151.6,5.3,5.0,8.6,26.4
251.8,39,6.6,76,58.7,8.2,9.2,3.2,79.9
279.9,38,6.8,93,99.3,8.1,7.2,4.6,66.8
251.9,39,4.9,30,147.4,6.9,6.7,4.1,60.0
316.5,53,7.1,98,95.4,7.4,7.9,3.8,69.8
415.2,62,8.5,58,55.6,8.2,8.4,1.8,85.1
421.9,46,5.7,96,146.7,6.1,5.9,5.3,50.6
402.1,25,7.4,43,164.9,6.6,6.2,4.1,58.4
267.0,33,5.9,106,118.2,6.5,6.5,4.2,62.1
195.2,42,6.2,121,41.6,6.8,6.6,3.1,66.9
384.3,44,8.8,67,148.2,7.7,7.0,2.2,82.2
342.3,46,6.3,56,53.6,7.3,6.9,2.0,69.7
416.8,50,7.6,25,132.4,6.7,6.8,3.0,66.4
436.2,47,4.8,82,84.5,5.5,6.3,6.3,39.8
391.1,60,9.2,73,73.6,7.0,8.8,1.4,86.2
440.8,43,7.7,43,102.3,8.1,7.2,2.3,77.7
398.3,41,6.8,104,112.7,6.6,6.8,6.1,53.8
422.4,55,7.7,77,94.2,6.4,6.1,3.7,61.2
323.6,35,5.3,58,143.5,7.2,6.4,5.1,52.8
365.6,54,8.4,73,102.2,7.1,8.3,3.6,74.6
395.7,51,6.6,122,159.2,5.0,6.9,6.1,46.7
445.6,49,6.8,108,131.2,7.0,6.4,3.7,61.6
348.5,66,6.4,86,92.1,6.5,7.8,4.1,66.5
421.7,44,6.3,109,85.4,6.1,5.6,3.9,55.7
358.7,71,7.8,55,54.1,7.9,7.3,4.9,72.0
370.6,48,7.3,91,131.6,7.8,8.0,2.5,75.4
446.4,37,7.8,94,105.8,6.9,8.6,3.0,74.1
220.6,51,7.0,76,25.1,7.1,8.3,2.1,77.6
276.3,39,7.6,103,98.6,7.9,7.9,2.1,76.7
261.4,42,6.5,67,84.0,7.1,6.0,5.1,62.3
193.3,54,9.7,105,183.0,9.5,7.7,4.1,85.5
325.7,56,5.1,107,51.9,6.6,6.7,4.6,57.7
440.0,44,8.5,10,62.3,6.3,7.9,1.9,74.5
357.2,60,8.6,126,164.4,7.2,7.0,2.1,76.6
395.8,62,6.0,10,174.3,8.2,7.2,3.9,65.3
467.1,64,9.7,72,90.2,9.0,8.8,2.0,94.8
486.2,55,8.2,121,94.7,8.1,8.3,3.1,79.4
374.5,64,8.2,80,144.6,6.3,7.7,4.1,68.0
488.3,31,7.0,46,26.9,8.0,8.5,3.6,77.0
387.4,47,6.7,57,45.6,6.8,7.4,4.1,67.3
313.0,41,6.7,121,108.8,7.0,7.1,4.1,66.3
332.4,51,7.5,32,182.0,6.2,8.2,3.0,66.9
261.6,44,8.7,124,102.6,7.2,7.5,3.7,72.6
308.9,48,7.2,88,124.0,6.6,9.4,3.7,69.5
351.4,69,5.9,54,165.4,7.2,7.1,5.3,60.1
444.3,48,8.0,73,204.3,7.1,7.6,4.8,66.3
517.7,54,8.1,59,96.9,7.2,8.0,2.5,72.8
269.4,48,7.8,116,119.3,6.2,8.9,2.5,74.7
411.4,51,7.9,112,192.9,6.1,7.6,4.0,61.2
296.8,50,6.7,38,59.1,7.2,6.6,2.7,69.7
418.0,54,5.9,78,161.1,6.8,7.5,5.6,52.1
369.5,62,6.0,64,79.3,7.9,6.9,4.4,65.4
